Year,"Life expectancy at birth, total (years)",Access to electricity (% of population),"Compulsory education, duration (years)",Aquaculture production (metric tons)
1960,41.15203595,..,..,49317
1961,41.57994666,..,..,50679
1962,42.0598553,..,..,52084
1963,42.2470646,..,..,53558
1964,42.84148392,..,..,55078
1965,42.9460306,..,..,58352
1966,43.41749512,..,..,58298
1967,44.01546266,..,..,60030
1968,44.37059597,..,..,60094
1969,44.70722564,..,..,63761
1970,43.49361634,..,..,65834
1971,40.20084479,..,..,69434
1972,45.1990153,..,..,70237
1973,45.69487292,..,..,72603
1974,45.74107734,..,..,73303
1975,45.69958139,..,..,76071
1976,46.27293769,..,..,80427
1977,46.68821912,..,..,81224
1978,46.97909074,..,..,87409
1979,47.78389242,..,..,92754
1980,48.233985,..,..,97364
1981,48.53406153,..,..,104197
1982,48.79651448,..,..,110377
1983,48.18905239,..,..,117367
1984,48.27226143,..,..,128629
1985,48.62152178,..,..,140880
1986,49.34744202,..,..,165857
1987,50.21299431,..,..,188702
1988,50.4238799,..,..,201768
1989,50.89789181,..,..,215125
1990,51.04093157,..,..,242296
1991,50.66964186,..,..,285062
1992,51.39355614,..,..,316124
1993,52.00774655,..,..,346429
1994,52.2588917,..,..,395890
1995,52.9421811,..,..,477331
1996,53.24956682,..,..,556875
1997,53.72658293,..,..,674313
1998,53.88658533,..,6,766805
1999,54.56561914,..,6,803981
2000,55.40080396,20.22805424,6,906327
2001,55.985067,20.9977554,6,1030594
2002,56.53412286,22.98180791,6,1217906
2003,57.17323029,24.51992383,6,1350974
2004,57.70993478,24.90971942,7,1544347.2
2005,58.30855034,26.27118075,6.5,1611471.95
2006,59.01522079,29.13939242,7,1745148.8
2007,59.61211981,29.35247121,7,1846599.3
2008,59.81180113,30.74129381,8,2007190.59
2009,60.57242371,32.14443062,8,2211946.31
2010,61.04089222,33.01645229,8,2602121.1
2011,61.5004569,34.49917777,8,2807709.47
2012,62.22543924,37.82324348,8,3133532.74
2013,62.72335261,38.23062453,8,3302874.05
2014,62.9592573,39.48782348,8,3503454.91
2015,63.30490026,42.31272813,8,3732419.54
2016,63.72372707,46.34583324,8,3879398.79
2017,64.03397552,50.20449409,8,4087637.33
2018,64.60227577,51.08742026,8,4290519.93
2019,64.97245344,52.87871227,8,4392742.55
2020,64.83235854,54.47368401,8,4680333.96
2021,64.26734233,56.10553736,8,4786727.79
2022,65.76318576,56.73831293,8,4755083.26
2023,66.51610026,58.4341453,8,..
2024,..,..,..,..